Competition,Country,Home Team,Home Score,Away Team,Away Score,Date
Premier League,England,Tottenham,0,Aston Villa,2,2023-01-01
Premier League,England,Nottm Forest,1,Chelsea,1,2023-01-01
Ligue 1,France,Angers,1,Lorient,2,2023-01-01
Ligue 1,France,Monaco,1,Brest,0,2023-01-01
Ligue 1,France,Nantes,1,Auxerre,0,2023-01-01
Ligue 1,France,Toulouse,2,Ajaccio,0,2023-01-01
Ligue 1,France,Lyon,0,Clermont,1,2023-01-01
Ligue 1,France,Lens,3,PSG,1,2023-01-01
Championship,England,Blackburn,1,Cardiff,0,2023-01-01
Championship,England,Blackpool,1,Sunderland,1,2023-01-01
Championship,England,Coventry,1,Bristol City,1,2023-01-01
Championship,England,Huddersfield,1,Luton,2,2023-01-01
Championship,England,Millwall,3,Rotherham,0,2023-01-01
A-League Men,Australia,Newcastle,0,Sydney,2,2023-01-01
A-League Men,Australia,Wanderers,4,Macarthur,0,2023-01-01
League One,England,Bristol Rovers,2,Cheltenham,1,2023-01-01
League One,England,Forest Green,1,Port Vale,3,2023-01-01
League One,England,Morecambe,5,Burton Albion,0,2023-01-01
League One,England,Oxford,0,Exeter,1,2023-01-01
League One,England,Peterborough,0,Wycombe,3,2023-01-01
League One,England,Plymouth,3,MK Dons,1,2023-01-01
League One,England,Portsmouth,1,Charlton,3,2023-01-01
League One,England,Shrewsbury,0,Fleetwood,3,2023-01-01
League Two,England,Bradford,3,Salford,2,2023-01-01
League Two,England,Colchester,1,Swindon,0,2023-01-01
League Two,England,Crewe,1,Tranmere,0,2023-01-01
League Two,England,Doncaster,2,Carlisle,1,2023-01-01
League Two,England,Grimsby,1,Stockport,0,2023-01-01
League Two,England,Hartlepool,3,Harrogate,3,2023-01-01
League Two,England,Sutton Utd,2,Wimbledon,1,2023-01-01
League Two,England,Walsall,2,Mansfield Town,1,2023-01-01
National League,England,Bromley,0,Southend,0,2023-01-01
National League,England,Chesterfield,4,Scunthorpe,1,2023-01-01
National League,England,Eastleigh,4,Dorking W,0,2023-01-01
National League,England,Maidenhead Utd,0,Wealdstone,0,2023-01-01
National League,England,Oldham,2,Notts,2,2023-01-01
National League,England,Woking,4,Aldershot,1,2023-01-01
National League,England,Yeovil,2,Torquay,0,2023-01-01
National League,England,Halifax,2,Altrincham,2,2023-01-01
A-League Women,Australia,Perth Glory,2,Western United,3,2023-01-01
Ligat Ha'al,Israel,Hapoel Hadera,2,Bnei Raina,2,2023-01-01
Ligat Ha'al,Israel,M Haifa,2,H Be'er Sheva,0,2023-01-01
