Competition,Country,Home Team,Home Score,Away Team,Away Score,Date,URL
Friendlies,World,Ecuador,1,Bolivia,0,2023-06-18,https://www.goal.com/en/match/ecuador-vs-bolivia/bbjytvyqwh63ixdhp079afuhg
Friendlies,World,Mauritius,1,Kenya,0,2023-06-18,https://www.goal.com/en/match/mauritius-vs-kenya/7iz6t0oh025a4zdorx72qagwk
Friendlies,World,Paraguay,2,Nicaragua,0,2023-06-18,https://www.goal.com/en/match/paraguay-vs-nicaragua/dpvcs9m6ecr4jx1sorvl8zyms
Friendlies,World,Egypt,3,South Sudan,0,2023-06-18,https://www.goal.com/en/match/egypt-vs-south-sudan/10bxw3jrzjkbrvch34uoywi6s
Friendlies,World,Venezuela,1,Guatemala,0,2023-06-18,https://www.goal.com/en/match/venezuela-vs-guatemala/2qnm75mofwqlnxdojn2hf50r8
UEFA Nations League,Europe,Netherlands,2,Italy,3,2023-06-18,https://www.goal.com/en/match/netherlands-vs-italy/bte5a6z8kx3tntitglcrex91w
UEFA Nations League,Europe,Croatia,0,Spain,0,2023-06-18,https://www.goal.com/en/match/croatia-vs-spain/50bbhc17t0fcpfl87w9hrprf8
MLS,USA,DC United,1,Salt Lake,2,2023-06-18,https://www.goal.com/en/match/dc-united-vs-real-salt-lake/a6dxzcj3eicr7geopxjtflixg
MLS,USA,New England,3,Orlando,1,2023-06-18,https://www.goal.com/en/match/new-england-vs-orlando-city/a6hbxu5muzgpswb22e25nlqtw
MLS,USA,Nashville,3,St. Louis,1,2023-06-18,https://www.goal.com/en/match/nashville-sc-vs-st-louis-city/a6q9k1xnvsneaok2guebrpt04
MLS,USA,Sporting KC,1,Los Angeles,2,2023-06-18,https://www.goal.com/en/match/sporting-kc-vs-los-angeles/a6mpstfu212x5d3seriqtxpuc
MLS,USA,Earthquakes,0,Portland,0,2023-06-18,https://www.goal.com/en/match/sj-earthquakes-vs-portland-timbers/a6ttbnvew47j1g1mqjdeaxn9w
