Competition,Country,Home Team,Home Score,Away Team,Away Score,Date,URL,Votes,Stats
Bundesliga,Germany,Leverkusen,1,Köln,2,2023-05-05,https://www.goal.com/en/match/bayer-leverkusen-vs-koeln/e2p7q07dlelsyf6294qiamxp0,"[['Leverkusen', 'Draw', 'Köln'], ['1799', '1102', '356']]","{'Ball possession': ['64.3%', '35.7%'], 'Total shots': ['13', '7'], 'Corners': ['9', '2'], 'Fouls': ['8', '13']}"
Bundesliga,Germany,Mainz 05,2,Schalke 04,3,2023-05-05,https://www.goal.com/en/match/mainz-05-vs-schalke-04/e2x7nywn43r4oermgy87ofq50,"[['Mainz 05', 'Draw', 'Schalke 04'], ['1174', '970', '521']]","{'Ball possession': ['56.7%', '43.3%'], 'Total shots': ['10', '16'], 'Corners': ['7', '6'], 'Fouls': ['12', '10']}"
CONMEBOL Libertadores,South America,Patronato,4,Melgar,1,2023-05-05,https://www.goal.com/en/match/patronato-vs-melgar/2fsqed8ul2d3ysqvkgi1p4m50,"[['Patronato', 'Draw', 'Melgar'], ['231', '193', '144']]","{'Ball possession': ['38.4%', '61.6%'], 'Total shots': ['9', '3'], 'Corners': ['2', '1'], 'Fouls': ['14', '10']}"
CONMEBOL Libertadores,South America,Racing Club,1,Flamengo,1,2023-05-05,https://www.goal.com/en/match/racing-club-vs-flamengo/4glr5latq540rh1vciquqbcic,"[['Racing Club', 'Draw', 'Flamengo'], ['333', '259', '422']]","{'Ball possession': ['29.1%', '70.9%'], 'Total shots': ['9', '11'], 'Corners': ['2', '4'], 'Fouls': ['14', '14']}"
CONMEBOL Libertadores,South America,Libertad,1,Paranaense,2,2023-05-05,https://www.goal.com/en/match/libertad-vs-athletico-paranaense/6qpgyqu2wxyox4t7igfyp4oic,"[['Libertad', 'Draw', 'Paranaense'], ['189', '210', '185']]","{'Ball possession': ['44.5%', '55.5%'], 'Total shots': ['21', '12'], 'Corners': ['3', '4'], 'Fouls': ['12', '13']}"
CONMEBOL Libertadores,South America,Pereira,2,Monagas,1,2023-05-05,https://www.goal.com/en/match/deportivo-pereira-vs-monagas/8ql17aig38jcv67y7utse2exg,"[['Pereira', 'Draw', 'Monagas'], ['212', '178', '90']]","{'Ball possession': ['48.4%', '51.6%'], 'Total shots': ['12', '10'], 'Corners': ['6', '8'], 'Fouls': ['10', '12']}"
CONMEBOL Sudamericana,South America,Gimn La Plata,0,Goiás,2,2023-05-05,https://www.goal.com/en/match/gimnasia-la-plata-vs-goias/4xtb3e2vxuqim5uo4m3kponis,"[['Gimn La Plata', 'Draw', 'Goiás'], ['158', '184', '134']]","{'Ball possession': ['41%', '59%'], 'Total shots': ['13', '10'], 'Corners': ['5', '0'], 'Fouls': ['17', '14']}"
CONMEBOL Sudamericana,South America,Audax,2,Blooming,0,2023-05-05,https://www.goal.com/en/match/audax-italiano-vs-blooming/it18iv9s3f96z0nzl2x9rj10,"[['Audax', 'Draw', 'Blooming'], ['189', '131', '73']]","{'Ball possession': ['59%', '41%'], 'Total shots': ['28', '4'], 'Corners': ['9', '3'], 'Fouls': ['12', '15']}"
CONMEBOL Sudamericana,South America,Botafogo,0,LDU Quito,0,2023-05-05,https://www.goal.com/en/match/botafogo-vs-ldu-quito/awldt4ebtnqrwuf8tojtufndg,"[['Botafogo', 'Draw', 'LDU Quito'], ['320', '191', '91']]","{'Ball possession': ['53.5%', '46.5%'], 'Total shots': ['16', '11'], 'Corners': ['10', '5'], 'Fouls': ['7', '20']}"
CONMEBOL Sudamericana,South America,Def y Justicia,4,Peñarol,1,2023-05-05,https://www.goal.com/en/match/defensa-y-justicia-vs-penarol/cugvl00jc67yeavjkrkxa63o4,"[['Def y Justicia', 'Draw', 'Peñarol'], ['232', '137', '85']]","{'Ball possession': ['43.7%', '56.3%'], 'Total shots': ['11', '22'], 'Corners': ['2', '3'], 'Fouls': ['11', '10']}"
