Competition,Country,Home Team,Home Score,Away Team,Away Score,MV Home Team,MV Away Team,Date,Home_Win_Probability,Away_Win_Probability
Championship,England,Blackburn,1,QPR,0,54.2,36.8,2022-07-30,99.275,0.725
Championship,England,Blackpool,1,Reading,0,15.08,16.0,2022-07-30,35.985,64.015
Championship,England,Cardiff,1,Norwich,0,48.6,77.8,2022-07-30,0.012,99.988
Championship,England,Hull,2,Bristol City,1,61.25,32.25,2022-07-30,99.978,0.022
Championship,England,Luton,0,Birmingham,0,72.9,45.5,2022-07-30,42.556,57.444
Championship,England,Millwall,2,Stoke,0,36.98,41.8,2022-07-30,14.855,85.145
Championship,England,Rotherham,1,Swansea,1,17.35,67.4,2022-07-30,42.556,57.444
Championship,England,Wigan,0,Preston,0,7.78,42.05,2022-07-30,42.556,57.444
Championship,England,Middlesbrough,1,West Bromwich,1,57.95,62.1,2022-07-30,42.556,57.444
Super Cup,Germany,Leipzig,3,Bayern München,5,406.9,981.2,2022-07-30,42.556,57.444
Super Cup,Portugal,Porto,3,Tondela,0,902.0,7.08,2022-07-30,100.0,0.0
MLS,USA,Los Angeles,2,Sounders,1,55.4,47.63,2022-07-30,88.401,11.599
MLS,USA,Minnesota,4,Portland,4,33.98,40.9,2022-07-30,42.556,57.444
Premiership,Scotland,Livingston,1,Rangers,2,8.8,117.38,2022-07-30,42.556,57.444
Premiership,Scotland,Hearts,2,Ross County,1,15.15,8.18,2022-07-30,85.705,14.295
Premiership,Scotland,Kilmarnock,1,Dundee Utd,1,6.5,0.28,2022-07-30,42.556,57.444
Premiership,Scotland,St. Johnstone,0,Hibernian,1,6.65,13.2,2022-07-30,42.556,57.444
Liga MX,Mexico,Juárez,1,Toluca,1,24.1,60.0,2022-07-30,42.556,57.444
First Division A,Belgium,Cercle Brugge,1,Anderlecht,0,29.98,80.85,2022-07-30,0.0,100.0
First Division A,Belgium,OHL,2,Westerlo,0,187.73,26.7,2022-07-30,100.0,0.0
